event,iteration,wallclock_seconds,learning_rate,train_step_loss,train_eval_loss,val_eval_loss
train_step,50,26.692359782755375,5.9999999999999995e-05,8.983084678649902,,
train_step,100,53.03465045336634,0.00011999999999999999,7.393754482269287,,
train_step,150,79.37972245365381,0.00017999999999999998,6.767695426940918,,
train_step,200,105.74310223665088,0.00023999999999999998,6.3871307373046875,,
train_step,250,132.12086797691882,0.0003,6.0595903396606445,,
train_step,300,158.4977490408346,0.00035999999999999997,5.909904479980469,,
train_step,350,184.87712408974767,0.00041999999999999996,5.712862968444824,,
train_step,400,211.26350012235343,0.00047999999999999996,5.547560691833496,,
train_step,450,237.64898608718067,0.00054,5.409224510192871,,
train_step,500,264.0386695722118,0.0006,5.352372169494629,,
train_step,550,290.41452687140554,0.0005999986405514987,5.252898216247559,,
train_step,600,316.79618584550917,0.0005999945622196847,5.175866603851318,,
train_step,650,343.17521166149527,0.0005999877650456266,5.13555908203125,,
train_step,700,369.5633944068104,0.000599978249097772,5.046083450317383,,
train_step,750,395.9476286796853,0.0005999660144719463,4.924990653991699,,
train_step,800,422.33108652662486,0.0005999510612913519,4.8571319580078125,,
train_step,850,448.7164909802377,0.0005999333897065674,4.856043815612793,,
train_step,900,475.09992704633623,0.0005999129998955455,4.851572513580322,,
train_step,950,501.5149769159034,0.0005998898920636111,4.725059986114502,,
train_step,1000,527.8996384991333,0.00059986406644346,4.76104211807251,,
eval,1000,527.8996384991333,0.00059986406644346,,4.721250915527344,4.6925116062164305
train_step,1050,562.1026952657849,0.0005998355232951559,4.68058967590332,,
train_step,1100,588.4823091626167,0.0005998042629061279,4.569963455200195,,
train_step,1150,614.8702082242817,0.0005997702855911678,4.56483268737793,,
train_step,1200,641.2559191267937,0.0005997335916924268,4.58665657043457,,
train_step,1250,667.6388249844313,0.0005996941815794121,4.512743949890137,,
train_step,1300,694.021834211424,0.0005996520556489831,4.527974605560303,,
train_step,1350,720.4024243541062,0.0005996072143253473,4.503426551818848,,
train_step,1400,746.803656661883,0.0005995596580600566,4.5168046951293945,,
train_step,1450,773.1893992070109,0.0005995093873320018,4.458056926727295,,
train_step,1500,799.5768901929259,0.0005994564026474087,4.461209297180176,,
train_step,1550,825.9659240171313,0.0005994007045398324,4.436824798583984,,
train_step,1600,852.3762720329687,0.0005993422935701524,4.41496467590332,,
train_step,1650,878.7787304054946,0.0005992811703265664,4.409827709197998,,
train_step,1700,905.165253855288,0.0005992173354245849,4.337987899780273,,
train_step,1750,931.5492714699358,0.0005991507895070244,4.36225700378418,,
train_step,1800,957.922713230364,0.0005990815332440017,4.376489162445068,,
train_step,1850,984.3040634309873,0.0005990095673329266,4.284514904022217,,
