event,iteration,wallclock_seconds,learning_rate,train_step_loss,train_eval_loss,val_eval_loss
train_step,50,8.261314105000565,2.9999999999999997e-05,8.231588363647461,,
train_step,100,16.12578825499986,5.9999999999999995e-05,6.691527843475342,,
train_step,150,23.961318992000088,8.999999999999999e-05,5.597250938415527,,
train_step,200,31.77165584100112,0.00011999999999999999,4.60261344909668,,
train_step,250,39.56063856200126,0.00015,4.108490943908691,,
train_step,300,47.3369511230012,0.00017999999999999998,3.7703986167907715,,
train_step,350,55.097536219000176,0.00020999999999999998,3.561504602432251,,
train_step,400,62.849288546000025,0.00023999999999999998,3.3248043060302734,,
train_step,450,70.5843932630014,0.00027,3.124718189239502,,
train_step,500,78.32617263300017,0.0003,2.9944305419921875,,
eval,500,78.32617263300017,0.0003,,3.015304822921753,3.0010808181762694
train_step,550,90.63931895099995,0.00029999893254699703,2.9066073894500732,,
train_step,600,98.36661815800107,0.00029999573020486907,2.692905902862549,,
train_step,650,106.09559704000094,0.0002999903930242583,2.797511339187622,,
train_step,700,113.80555373800053,0.00029998292108956754,2.6799681186676025,,
train_step,750,121.53119439800139,0.0002999733145189588,2.6501173973083496,,
train_step,800,129.3311600600009,0.0002999615734643516,2.6324453353881836,,
train_step,850,137.09696421199988,0.00029994769811142035,2.598173141479492,,
train_step,900,144.80649092000021,0.00029993168867959146,2.58028507232666,,
train_step,950,152.5914717650012,0.00029991354542204,2.5490548610687256,,
train_step,1000,160.30111654900065,0.0002998932686256857,2.3444247245788574,,
eval,1000,160.30111654900065,0.0002998932686256857,,2.4418318176269533,2.4222158193588257
train_step,1050,172.7815436740002,0.00029987085861118816,2.422081470489502,,
train_step,1100,180.48016231400106,0.00029984631573294195,2.394484043121338,,
train_step,1150,188.16510763800034,0.0002998196403790711,2.4241998195648193,,
train_step,1200,195.82857786900058,0.0002997908329714229,2.398261785507202,,
train_step,1250,203.49761745599972,0.0002997598939655609,2.3852310180664062,,
train_step,1300,211.16531034900072,0.00029972682385075844,2.323486328125,,
train_step,1350,218.83151051300047,0.0002996916231499901,2.2048494815826416,,
train_step,1400,226.4911267890002,0.000299654292419924,2.2394461631774902,,
train_step,1450,234.14353465800014,0.00029961483225091263,2.2172462940216064,,
train_step,1500,241.8004314560003,0.0002995732432669839,2.3129067420959473,,
eval,1500,241.8004314560003,0.0002995732432669839,,2.236219253540039,2.216433939933777
train_step,1550,253.96778380100113,0.0002995295261258309,2.138716220855713,,
train_step,1600,261.60630636800124,0.00029948368151880164,2.2644758224487305,,
train_step,1650,269.25276462500005,0.0002994357101708882,2.3116118907928467,,
train_step,1700,276.8988581250014,0.0002993856128407152,2.119905710220337,,
train_step,1750,284.54332358099964,0.0002993333903205277,2.054982900619507,,
train_step,1800,292.1796593150011,0.0002992790434361788,2.083395481109619,,
train_step,1850,299.81557331300064,0.0002992225730471167,2.0098049640655518,,
train_step,1900,307.4503995030009,0.0002991639800463707,2.284430503845215,,
train_step,1950,315.084226934001,0.0002991032653605375,2.1483683586120605,,
train_step,2000,322.7158635579999,0.00029904042994976636,2.1918976306915283,,
eval,2000,322.7158635579999,0.00029904042994976636,,2.0706963205337523,2.069763948917389
train_step,2050,335.1250455750014,0.00029897547480774395,2.034085750579834,,
train_step,2100,342.76069351000115,0.00029890840096167854,1.9867961406707764,,
train_step,2150,350.3885002679999,0.0002988392094722838,2.0331835746765137,,
train_step,2200,358.021553509001,0.0002987679014337623,2.0404109954833984,,
train_step,2250,365.6621494840001,0.00029869447797378773,2.08646297454834,,
train_step,2300,373.2912557039999,0.00029861894025348743,1.9805508852005005,,
train_step,2350,380.93289015400114,0.0002985412894674238,2.107531785964966,,
train_step,2400,388.57098386000143,0.0002984615268435757,2.0425865650177,,
train_step,2450,396.20716936700046,0.00029837965364331855,1.9133883714675903,,
train_step,2500,403.8330892419999,0.00029829567116140495,1.9500620365142822,,
eval,2500,403.8330892419999,0.00029829567116140495,,1.979625871181488,1.9655253624916076
train_step,2550,415.968641503001,0.00029820958072594386,1.9602816104888916,,
train_step,2600,423.5813236260001,0.0002981213836983796,1.9344291687011719,,
train_step,2650,431.20204123999974,0.00029803108147347037,2.0163190364837646,,
train_step,2700,438.825939458,0.00029793867547926636,1.8843357563018799,,
train_step,2750,446.44613310600107,0.00029784416717708675,1.8663840293884277,,
train_step,2800,454.06699146699975,0.0002977475580614972,1.9144662618637085,,
train_step,2850,461.6936888140008,0.00029764884966028567,1.830406904220581,,
train_step,2900,469.3139614850006,0.00029754804353443855,1.949937105178833,,
